ID,weight,text
900795,2.188675975,That the store sells a big variety of products.
900796,2.188675975,That Hudson's bay has a variety of products
900797,2.181916068,Decorate home
900799,0.5,I don't know it was confusing
900800,0.5,You can make your home your home by shopping at the Bay
900802,0.647793135,Wide variety of decors
900811,0.5,too busy
900812,1.749626456,That we offer several possibilities to improve the layout of the house.
900815,1.953089416,"For every mood or occasion, this retailer has the right things"
900816,0.552084101,Hudson's Bay offers a wide selection of home decor
900822,0.627743513,not sure
900827,0.95762175,Spend
900828,0.737657034,I don't know. I got distracted by the music. I think the main message was that you can find pretty much everything you need to update the look of your home at the Bay.
900829,1.560299569,Lots of options for decor
900830,0.5,You can buy a variety of stuff
900831,0.831027698,Products to suit your lifestyle at ikea
900834,1.384991083,Good t me
900835,1.036567838,It's good stuff
900837,0.740268501,The Bay has everything you need for your home decor
900839,1.560299569,buy our products
900840,0.552084101,The bay has a variety and f home decor products
900847,0.831027698,The colors of Hudson Bay if the stripes
900850,1.953089416,unsure
900853,0.5,online furniture
900861,0.5,That the bay has products to decorate your home
900870,1.465797391,They have lots of home decor
900876,0.627743513,OK
900881,0.814489168,"Wide variety of home decoration, for all styles"
900888,0.5,That Hudson Bay has everything you need
900889,1.518243552,i thought so
900890,0.5,This store offers items that can decorate your entire home. The colors of the cover and the mug suggest that it is La Baie.
900895,0.521804034,"Choice of decor, home accessory"
900898,0.644515679,It provides great deals.
900901,1.16234507,No information
900902,1.717691369,No idea
900904,1.495410666,That there are a variety of home decor items that can be purchased through a website / app
900906,1.384991083,We have stuff
900914,0.5,They have items for all your needs.
900924,0.541285713,Shop HBC for all your decor needs. Wide variety for different styles and choices.
900940,0.5,home decor
900945,0.5,I can't guess
900950,0.5,I think it was for a store that sells apparel and products for in your house
900951,0.5,they carry nice stuff
900959,0.521804034,We find everything to decorate our home
900963,0.5,You can buy everything you need in decoration on this site.
900964,0.5,You're cool you're hip. You can hang with beautiful people if you have this photo.
900976,0.5,buy things
900978,0.5,By the colors
901008,0.5,don't know
901027,0.5,None
901037,1.749626456,Jeans
901044,0.5,Great place for home decor
901047,0.5,I have no idea
901049,0.5,That there are home furnishing items for every taste.
901050,0.5,That I could be a vaguely ethnic thin person living in a fancy big home.
901056,0.5,"I think it was saying you could buy artwork, pillows, maybe furniture at the Bay. And probably clothes because the girl had different outfits on."
901057,0.5,"To order Home accessories from The Bay, like small tables, pillows, pictures, furniture, plants"
901065,0.5,Greed is good. Now get out there shopping for house hold supplies that you can't afford
901069,2.030366556,Variety of home decor items
901071,0.5,because of the colors n design
901073,0.5,recognize the colous
901080,2.049228716,"They sell Home Decor,"
901081,1.249890918,The Bay has something for everyone no matter their style
901082,4.400731837,recognized color scheme on items
901087,2.030366556,that there is something for every taste at wayfair
901091,1.036567838,A lot of furniture and products
901096,0.827164403,The Bay has everything in fashion
901101,0.740268501,unsure
901103,0.913749183,dont know
901109,1.935112172,There are a lot of different home decor styles to chose from that match you and your life
901110,4.194272073,gte out product
901112,1.384991083,I'm not sure
901121,0.5,Colors featured in the commercial
901124,4.194272073,Something
901125,0.814489168,Qe we can find everything we need
901128,1.285570463,Hahahahwhwhvshehwbw eheikwjwbwjwkwjwb wjwjwbw jekwkenw wjwn wnwnw s sue
901129,1.315174806,advertise decor products for different tastes
901153,0.5,Interior decoration.
901162,1.560299569,great
901168,0.700472341,I think the message for the commecial is good of telling me about the website and about the delivery and shipping
901171,0.5,happy ppl shop at the bay
901175,0.5,"The retailer offers a wide range of products for the house, clothing, personal care"
901179,1.465797391,Purchase everything for your house online
901188,0.5437813,hudson bay offers a lot of home products
901189,1.036567838,I don't know
901192,0.700472341,get/buy everything you need at the bay
901198,0.95762175,No idea
901200,0.5,Products
901201,1.465797391,Online shopping for house decor is easy with this website. Free shipping and returns means no hassle and allows you to have fun taking chances in trying new decorations for your home
901202,0.541285713,Variety for decorating your home.
901214,0.552084101,Home Decor that matches every facet of your personality
901224,0.552084101,home decor products
901227,1.560299569,Get it at the bay
901229,1.215749474,oh
901230,0.5437813,"Honestly, with the outfit changes, I originally thought it was clothes, but at the end I realized it was showing you can get all your home goods at the Bay"
901236,3.535347359,i dunno
901239,0.632404734,That we find everything for our silk home
901241,0.541285713,you can order stuff for your house online and get it via mail
901245,2.850584602,products
901254,0.831027698,Free returns
901260,1.717691369,idk
901263,0.647793135,Various home decor items for all styles
901266,0.719875734,To but their stuff
901272,0.5,home decor
901274,0.5,buy nice products for the home
901282,0.5,Hudson Bay offers a wide variety of home decor
901287,0.737657034,That the bay has everyday comfort for your home
901289,0.5,colors
901301,0.781126133,buy the product
901318,0.831027698,"That The Hudson's Bay Company has the quality products, and styles, to fit your lifestyle. Both for clothing and furniture."
901319,0.5,The Bay offers a variety of products
901326,0.5,The Bay is fun
901327,0.831027698,The Bay sells home decor
901338,0.55096962,"That they have products and décor for every version of ""you""."
901345,0.5437813,Easy fun styles
901347,0.5,Attractive home furnishings
901355,4.769068846,Has everything you need
901357,1.384991083,The Bay offers home decor sales online with shipping and returns
901359,1.127080584,.
901360,0.5,Affordable modern furnishings
901362,0.854569198,Buy stuff from the bay
901363,0.638993622,I don't like that they are doubling the female
901368,0.5,Hudsons Bay has everything you need for home decor.
901370,2.786418467,N / A
901371,1.474669116,Nothing
901372,1.285570463,having fun in a vibrant environment with a lot of unique furniture.
901385,1.036567838,To buy house declaration
901392,0.5,Variety of options for home environment
901394,0.5,I don't know
901397,0.5,You can buy lots of nice things at the Bay
901408,1.235519023,Making your home comfortable
901410,0.5,home decor
901411,0.5,They have everything for your home
901414,0.931864672,the services are complete with the application
901418,0.638993622,The colors
901421,0.5,Lots of choices and products to choose from.
901427,0.5,THAT THE BAY HAS A LOT OF HOME DECOR AND YOU CAN ORDER/RETURN ONLINE.
