,Row.names,weight,percent,V1,V2,V3,V4,V5,V6,V7,V8,V9,,,,,,,,,,,,,,,,,
,NA,89.06825948,0.096770644,,,,,,,,,,,,,,,,,,,,,,,,,,
IDK,Topic 1.,87.49506745,0.095061406,notknow,color,,,,,,,,,,,,,,,,,,,,,,,,
Recognized the colors,Topic 1.1.,19.22545839,0.020888024,stripe,recogn,scheme,icon,store,mood,,,,,,,,,,,,,,,,,,,,
Topic 1.1.,Topic 1.2.,7.706701363,0.008373156,featur,commerci,same,,,,,,,,,,,,,,,,,,,,,,,
Need breakdown,Topic 1.3.,19.19170054,0.020851347,messag,deliveri,ship,free,modern,furnish,shop,time,find,,,,,,,,,,,,,,,,,
Retailer mugs and blankets helped identify retailer,Topic 1.4.,26.00940486,0.028258628,hsbc,mug,show,blanket,,,,,,,,,,,,,,,,,,,,,,
Buy their products,Topic 2.,52.74606568,0.057307404,item,lot,bui,,,,,,,,,,,,,,,,,,,,,,,
Buy products for every taste,Topic 2.1.,25.27393418,0.027459556,option,style,fun,store,,,,,,,,,,,,,,,,,,,,,,
They carry lots of nice products,Topic 2.2.,38.54901056,0.041882626,retail,offer,nice,avail,shop,live,price,,,,,,,,,,,,,,,,,,,
You can order furniture online,Topic 2.3.,34.50725286,0.037491348,onlin,furnitur,order,,,,,,,,,,,,,,,,,,,,,,,
The Bay,Topic 3.,24.59172237,0.026718349,bai,everyth,,,,,,,,,,,,,,,,,,,,,,,,
Topic 1.1.,Topic 3.1.,38.47217367,0.041799144,wide,stripe,everyon,sell,suit,,,,,,,,,,,,,,,,,,,,,
Offers variety of styles for everyone,Topic 3.2.,43.01143271,0.046730946,offer,style,cloth,,,,,,,,,,,,,,,,,,,,,,,
Carries everything you need,Topic 3.3.,51.05804272,0.055473405,find,need,,,,,,,,,,,,,,,,,,,,,,,,
Shop at the retailer,Topic 3.4.,47.78205814,0.051914122,shop,furnitur,onlin,,,,,,,,,,,,,,,,,,,,,,,
Home decor,Topic 4.,106.8712263,0.116113163,decor,home,,,,,,,,,,,,,,,,,,,,,,,,
Offers/carries home decor and furniture,Topic 4.1.,20.70886338,0.02249971,offer,person,furnitur,onlin,,,,,,,,,,,,,,,,,,,,,,
Great place to shop with many options for home decor,Topic 4.2.,118.0575036,0.1282668,shop,find,option,store,furnitur,everyon,,,,,,,,,,,,,,,,,,,,
Retailer sells home decor,Topic 4.3.,60.37199002,0.065592798,wide,sell,,,,,,,,,,,,,,,,,,,,,,,,
Has home decor styles for every taste,Topic 4.4.,58.29086126,0.063331699,need,style,,,,,,,,,,,,,,,,,,,,,,,,
Products,Topic 5.,51.60997877,0.056073071,varieti,product,great,,,,,,,,,,,,,,,,,,,,,,,
Variety of products available,Topic 5.1.,61.68928521,0.067024009,style,shop,furnitur,cloth,free,avail,price,,,,,,,,,,,,,,,,,,,
Topic 5.1.,Topic 5.2.,43.94759094,0.047748061,wide,,,,,,,,,,,,,,,,,,,,,,,,,
Products to suit everyone,Topic 5.3.,27.87891433,0.030289808,offer,suit,lifestyl,everyon,,,,,,,,,,,,,,,,,,,,,,
Sells products,Topic 5.4.,24.30545821,0.026407329,store,sell,,,,,,,,,,,,,,,,,,,,,,,,
89.0%,,,920.4057759,,,,,,,,,,,,,,,,,,,,,,,,,,
101.5524473,doc_id,text,weight,topic1,topic2,Topic 1.,Topic 2.,Topic 3.,Topic 4.,Topic 5.,Topic 1.1.,Topic 1.2.,Topic 1.3.,Topic 1.4.,Topic 2.1.,Topic 2.2.,Topic 2.3.,Topic 3.1.,Topic 3.2.,Topic 3.3.,Topic 3.4.,Topic 4.1.,Topic 4.2.,Topic 4.3.,Topic 4.4.,Topic 5.1.,Topic 5.2.,Topic 5.3.,Topic 5.4.
,900795,That the store sells a big variety of products.,2.188675975,Topic 5.4.,NA,0.000174873,0.000174873,0.000174873,0.000174873,0.999300508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002060908,0.002060908,0.002060908,0.993817276
,900796,That Hudson's bay has a variety of products,2.188675975,Topic 5.,Topic 3.,0.000128346,0.000128346,0.421935407,0.000128346,0.577679555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900797,Decorate home,2.181916068,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900799,I don't know it was confusing,0.5,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900800,You can make your home your home by shopping at the Bay,0.5,Topic 3.4.,Topic 4.2.,0.00010714,0.00010714,0.425335265,0.574343314,0.00010714,NA,NA,NA,NA,NA,NA,NA,0.002106483,0.002106483,0.002106483,0.99368055,0.00391136,0.98826592,0.00391136,0.00391136,NA,NA,NA,NA
,900802,Wide variety of decors,0.647793135,Topic 5.2.,Topic 4.3.,0.000129184,0.000129184,0.000129184,0.568389343,0.431223105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001877943,0.001877943,0.994366172,0.001877943,0.001216428,0.996350716,0.001216428,0.001216428
,900811,too busy,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900812,That we offer several possibilities to improve the layout of the house.,1.749626456,Topic 4.1.,NA,0.000163998,0.000163998,0.000163998,0.999344009,0.000163998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.993778058,0.002073981,0.002073981,0.002073981,NA,NA,NA,NA
,900815,"For every mood or occasion, this retailer has the right things",1.953089416,Topic 2.2.,NA,0.000469798,0.99812081,0.000469798,0.000469798,0.000469798,NA,NA,NA,NA,0.010471422,0.979057157,0.010471422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900816,Hudson's Bay offers a wide selection of home decor,0.552084101,Topic 5.2.,Topic 3.2.,5.84E-05,5.84E-05,0.210622077,0.577376226,0.211884874,NA,NA,NA,NA,NA,NA,NA,0.347179857,0.649516988,0.001651578,0.001651578,0.474109497,0.00098945,0.523911603,0.00098945,0.000900242,0.737369093,0.260830424,0.000900242
,900822,not sure,0.627743513,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900827,Spend,0.95762175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900828,I don't know. I got distracted by the music. I think the main message was that you can find pretty much everything you need to update the look of your home at the Bay.,0.737657034,Topic 3.3.,Topic 4.4.,0.142373472,7.36E-05,0.455388095,0.402091165,7.36E-05,NA,NA,NA,NA,NA,NA,NA,0.000646441,0.000646441,0.998060677,0.000646441,0.00067167,0.254225891,0.00067167,0.74443077,NA,NA,NA,NA
