"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"Topic 1.","notknow","color",NA,NA,NA,NA,NA,NA,NA
"Topic 2.","item","lot","bui",NA,NA,NA,NA,NA,NA
"Topic 3.","bai","everyth",NA,NA,NA,NA,NA,NA,NA
"Topic 4.","decor","home",NA,NA,NA,NA,NA,NA,NA
"Topic 5.","varieti","product","great",NA,NA,NA,NA,NA,NA
"Topic 1.1.","stripe","recogn","scheme","icon","store","mood",NA,NA,NA
"Topic 1.2.","featur","commerci","same",NA,NA,NA,NA,NA,NA
"Topic 1.3.","messag","deliveri","ship","free","modern","furnish","shop","time","find"
"Topic 1.4.","hsbc","mug","show","blanket",NA,NA,NA,NA,NA
"Topic 2.1.","option","style","fun","store",NA,NA,NA,NA,NA
"Topic 2.2.","retail","offer","nice","avail","shop","live","price",NA,NA
"Topic 2.3.","onlin","furnitur","order",NA,NA,NA,NA,NA,NA
"Topic 3.1.","wide","stripe","everyon","sell","suit",NA,NA,NA,NA
"Topic 3.2.","offer","style","cloth",NA,NA,NA,NA,NA,NA
"Topic 3.3.","find","need",NA,NA,NA,NA,NA,NA,NA
"Topic 3.4.","shop","furnitur","onlin",NA,NA,NA,NA,NA,NA
"Topic 4.1.","offer","person","furnitur","onlin",NA,NA,NA,NA,NA
"Topic 4.2.","shop","find","option","store","furnitur","everyon",NA,NA,NA
"Topic 4.3.","wide","sell",NA,NA,NA,NA,NA,NA,NA
"Topic 4.4.","need","style",NA,NA,NA,NA,NA,NA,NA
"Topic 5.1.","style","shop","furnitur","cloth","free","avail","price",NA,NA
"Topic 5.2.","wide",NA,NA,NA,NA,NA,NA,NA,NA
"Topic 5.3.","offer","suit","lifestyl","everyon",NA,NA,NA,NA,NA
"Topic 5.4.","store","sell",NA,NA,NA,NA,NA,NA,NA
